CUI|Concept|CCS|Phecode|CTD|HPO|HDO
C0000727|'Abdomen, Acute'|[251]|['GI']|['Signs and symptoms']|['HP:0025031 ! Abnormality of the digestive system', 'HP:0025142 ! Constitutional symptom']|['DOID:7 ! disease of anatomical entity']
C0000729|'ABDOMINAL CRAMPS'|[251]|['GI']|['Infant-newborn disease']|['HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0000735|'Abdominal Neoplasms::Abdominal tumor'|[43, 155]|['GI', 'Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm', 'HP:0025031 ! Abnormality of the digestive system']|['DOID:14566 ! disease of cellular proliferation']
C0000737|'Stomach pain::ABDOMINAL PAIN'|[251]|['GI']|['Signs and symptoms']|['HP:0025031 ! Abnormality of the digestive system', 'HP:0025142 ! Constitutional symptom']|['DOID:7 ! disease of anatomical entity']
C0000768|'Abnormalities::BIRTH DEFECTS::Congenital Defect::Congenital Abnormality::Deformity::malformations::Congenital Malformation::Congenital Deformity::Birth Defect::Malformation::Deformities::Congenital Malformations::CONGENITAL ANOMALY'|[217]|['Cong']|['Congenital abnormality']|['HP:0001507 ! Growth abnormality', 'HP:0001871 ! Abnormality of blood and blood-forming tissues']|['DOID:0080015 ! physical disorder', 'DOID:225 ! syndrome']"
C0000772|'Multiple congenital deformities NOS::multiple congenital Abnormality::Multiple anomalies::Multiple Abnormalities'|[217]|['Cong']|['Congenital abnormality']|[]|['DOID:225 ! syndrome']
C0000809|'Recurrent Miscarriages'|[177]|['Preg']|['Pregnancy complication']|['HP:0001197 ! Abnormality of prenatal development or birth']|['DOID:7 ! disease of anatomical entity']
C0000833|'Abscesses'|[197]|['Derm']|['Pathology (process)']|['HP:0001574 ! Abnormality of the integument', 'HP:0002086 ! Abnormality of the respiratory system', 'HP:0002715 ! Abnormality of the immune system', 'HP:0033127 ! Abnormality of the musculoskeletal system']|[]
C0000846|'Agenesis'|[217]|['Cong']|['Congenital abnormality']|[]|['DOID:225 ! syndrome']
C0000932|'automobile accident::motor vehicle crash::motor vehicle accident::Traffic Accident::motor vehicle collision::motor vehicle accidents'|[244]|[]|['Wounds and injuries']|[]|[]
C0001080|'ACHONDROPLASIA'|[217]|['Both', 'Cong']|['Genetic disease (inborn)', 'Musculoskeletal disease']|['HP:0001507 ! Growth abnormality']|['DOID:225 ! syndrome', 'DOID:7 ! disease of anatomical entity']"
C0001144|'Acne::ACNE VULGARIS'|[200]|['Derm']|['Skin disease']|['HP:0001574 ! Abnormality of the integument']|['DOID:7 ! disease of anatomical entity']
C0001175|'Syndrome, Acquired Immuno-Deficiency::HIV/AIDS::AIDS'|[5]|['ID']|['Immune system disease', 'Viral disease']|['HP:0002715 ! Abnormality of the immune system']|['DOID:0050117 ! disease by infectious agent']
C0001206|'ACROMEGALY'|[51]|['Endo']|['Endocrine system disease', 'Musculoskeletal disease', 'Nervous system disease']|['HP:0000818 ! Abnormality of the endocrine system']|['DOID:7 ! disease of anatomical entity']
C0001314|'acute condition'|[]|[]|['Pathology (process)']|[]|[]
C0001339|'Acute Pancreatitis'|[152]|['GI']|['Digestive system disease']|['HP:0002715 ! Abnormality of the immune system', 'HP:0025031 ! Abnormality of the digestive system']|['DOID:7 ! disease of anatomical entity']
C0001403|'ADDISON DISEASE'|[51]|['Endo']|['Endocrine system disease', 'Immune system disease']|['HP:0000818 ! Abnormality of the endocrine system']|['DOID:7 ! disease of anatomical entity']
C0001418|'ADENOCARCINOMA'|[43]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0001420|'Papillary Adenocarcinoma'|[43]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
C0001430|'Adenomas::ADENOMA::ADENOMA, BENIGN'|[47]|['Neoplasms']|['Cancer']|['HP:0002664 ! Neoplasm']|['DOID:14566 ! disease of cellular proliferation']
